pathway,keyword,dispatch_file,dispatch_routine,branch_start_line,branch_end_line,called_routines,handler_candidates,evidence_status
CO,TITLEONE,coset.f,COCARD,72,81,ERRHDL;TITLES,TITLES,confirmed-source
CO,TITLETWO,coset.f,COCARD,82,91,ERRHDL;TITLES,TITLES,confirmed-source
CO,MODELOPT,coset.f,COCARD,92,101,ERRHDL;MODOPT,MODOPT,confirmed-source
CO,AVERTIME,coset.f,COCARD,102,111,ERRHDL;AVETIM,AVETIM,confirmed-source
CO,POLLUTID,coset.f,COCARD,112,121,ERRHDL;POLLID,POLLID,confirmed-source
CO,DCAYCOEF,coset.f,COCARD,122,162,ERRHDL;EDECAY,EDECAY,confirmed-source
CO,HALFLIFE,coset.f,COCARD,122,162,ERRHDL;EDECAY,EDECAY,confirmed-source
CO,FLAGPOLE,coset.f,COCARD,163,172,ERRHDL;FLAGDF,FLAGDF,confirmed-source
CO,RUNORNOT,coset.f,COCARD,173,182,ERRHDL;RUNNOT,RUNNOT,confirmed-source
CO,EVENTFIL,coset.f,COCARD,183,196,ERRHDL;EVNTFL,EVNTFL,confirmed-source
CO,SAVEFILE,coset.f,COCARD,197,206,ERRHDL;SAVEFL,SAVEFL,confirmed-source
CO,INITFILE,coset.f,COCARD,207,216,ERRHDL;INITFL,INITFL,confirmed-source
CO,MULTYEAR,coset.f,COCARD,217,226,ERRHDL;MYEAR,MYEAR,confirmed-source
CO,GDSEASON,coset.f,COCARD,237,246,ERRHDL;GDSEAS,GDSEAS,confirmed-source
CO,GASDEPDF,coset.f,COCARD,247,256,ERRHDL;GDDEF,GDDEF,confirmed-source
CO,GDLANUSE,coset.f,COCARD,257,266,ERRHDL;GDLAND,GDLAND,confirmed-source
CO,GASDEPVD,coset.f,COCARD,267,276,ERRHDL;GVSUBD,GVSUBD,confirmed-source
CO,DEBUGOPT,coset.f,COCARD,277,291,DEBOPT,DEBOPT,confirmed-source
CO,URBANOPT,coset.f,COCARD,292,301,ERRHDL;URBOPT,URBOPT,confirmed-source
CO,OZONEVAL,coset.f,COCARD,302,312,O3VAL;ERRHDL,O3VAL,confirmed-source
CO,O3VALUES,coset.f,COCARD,313,322,O3VALS;ERRHDL,O3VALS,confirmed-source
CO,OZONEFIL,coset.f,COCARD,323,332,O3FILE;ERRHDL,O3FILE,confirmed-source
CO,OZONUNIT,coset.f,COCARD,333,347,ERRHDL;OZON_UNIT,OZON_UNIT,confirmed-source
CO,NO2STACK,coset.f,COCARD,348,362,ERRHDL;NO2STK,NO2STK,confirmed-source
CO,NO2EQUIL,coset.f,COCARD,363,378,ERRHDL;NO2EQ,NO2EQ,confirmed-source
CO,LOW_WIND,coset.f,COCARD,379,391,ERRHDL;LOW_WND,LOW_WND,confirmed-source
CO,O3SECTOR,coset.f,COCARD,392,406,ERRHDL;O3SECTOR,O3SECTOR,confirmed-source
CO,ARMRATIO,coset.f,COCARD,407,421,ERRHDL;ARM2_RATIOS,ARM2_RATIOS,confirmed-source
CO,AWMADWNW,coset.f,COCARD,422,434,ERRHDL;AWMA_DOWNWASH,AWMA_DOWNWASH,confirmed-source
CO,ORD_DWNW,coset.f,COCARD,435,448,ERRHDL;ORD_DOWNWASH,ORD_DOWNWASH,confirmed-source
CO,NOXSECTR,coset.f,COCARD,449,463,ERRHDL;NOXSECTOR,NOXSECTOR,confirmed-source
CO,NOXVALUE,coset.f,COCARD,464,473,NOXVAL;ERRHDL,NOXVAL,confirmed-source
CO,NOX_VALS,coset.f,COCARD,474,483,NOXVALS;ERRHDL,NOXVALS,confirmed-source
CO,NOX_UNIT,coset.f,COCARD,484,498,ERRHDL;NOX_UNIT,NOX_UNIT,confirmed-source
CO,NOX_FILE,coset.f,COCARD,499,510,NOXFILE;ERRHDL,NOXFILE,confirmed-source
CO,ARCFTOPT,coset.f,COCARD,511,527,ERRHDL,,confirmed-source
SO,LOCATION,soset.f,SOCARD,120,130,ERRHDL;SOLOCA,SOLOCA,confirmed-source
SO,SRCPARAM,soset.f,SOCARD,131,143,ERRHDL;SOPARM,SOPARM,confirmed-source
SO,BUILDHGT,soset.f,SOCARD,144,179,ERRHDL;DSBLDG,DSBLDG,confirmed-source
SO,BUILDLEN,soset.f,SOCARD,144,179,ERRHDL;DSBLDG,DSBLDG,confirmed-source
SO,BUILDWID,soset.f,SOCARD,144,179,ERRHDL;DSBLDG,DSBLDG,confirmed-source
SO,XBADJ,soset.f,SOCARD,144,179,ERRHDL;DSBLDG,DSBLDG,confirmed-source
SO,YBADJ,soset.f,SOCARD,144,179,ERRHDL;DSBLDG,DSBLDG,confirmed-source
SO,EMISFACT,soset.f,SOCARD,202,212,ERRHDL;EMVARY,EMVARY,confirmed-source
SO,EMISUNIT,soset.f,SOCARD,213,232,ERRHDL;EMUNIT,EMUNIT,confirmed-source
SO,RLEMCONV,soset.f,SOCARD,233,258,ERRHDL,,confirmed-source
SO,MASSFRAX,soset.f,SOCARD,259,277,ERRHDL;PARTDEP,PARTDEP,confirmed-source
SO,PARTDENS,soset.f,SOCARD,259,277,ERRHDL;PARTDEP,PARTDEP,confirmed-source
SO,PARTDIAM,soset.f,SOCARD,259,277,ERRHDL;PARTDEP,PARTDEP,confirmed-source
SO,ELEVUNIT,soset.f,SOCARD,278,296,ERRHDL;SOELUN,SOELUN,confirmed-source
