pathway,keyword,source_file,handler,fixture_occurrences,fixture_files,evidence_status
ME,STARTING,meset.f,MECARD,53,53,source-manual-fixture
ME,SURFFILE,meset.f,SURFIL,53,53,source-manual-fixture
ME,PROFFILE,meset.f,PROFIL,53,53,source-manual-fixture
ME,SURFDATA,meset.f,SFDATA,53,53,source-manual-fixture
ME,UAIRDATA,meset.f,UADATA,53,53,source-manual-fixture
ME,STARTEND,meset.f,STAEND,10,10,source-manual-fixture
ME,DAYRANGE,meset.f,DAYRNG,0,0,source-manual-no-current-fixture
ME,WDROTATE,meset.f,WDROTA,0,0,source-manual-no-current-fixture
ME,SITEDATA,meset.f,ONDATA,15,15,source-manual-fixture
ME,PROFBASE,meset.f,PRBASE,53,53,source-manual-fixture
ME,WINDCATS,meset.f,WSCATS,0,0,source-manual-no-current-fixture
ME,SCIMBYHR,meset.f,SCIMIT,1,1,source-manual-fixture
ME,NUMYEARS,meset.f,NUMYR,0,0,source-manual-no-current-fixture
ME,NOTURB,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOTURBST,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOTURBCO,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOSA,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOSW,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOSAST,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOSWST,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOSACO,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,NOSWCO,meset.f,TURBOPT,0,0,source-manual-no-current-fixture
ME,FINISHED,meset.f,MECARD,53,53,source-manual-fixture
EV,STARTING,evset.f,EVCARD,0,0,source-manual-no-current-fixture
EV,EVENTPER,evset.f,EVPER,0,0,source-manual-no-current-fixture
EV,EVENTLOC,evset.f,EVLOC,0,0,source-manual-no-current-fixture
EV,INCLUDED,evset.f,INCLUD,0,0,source-manual-no-current-fixture
EV,FINISHED,evset.f,EVCARD,0,0,source-manual-no-current-fixture
OU,STARTING,ouset.f,OUCARD,53,53,source-manual-fixture
OU,RECTABLE,ouset.f,OUHIGH,52,52,source-manual-fixture
OU,MAXTABLE,ouset.f,OUMXVL,25,25,source-manual-fixture
OU,DAYTABLE,ouset.f,OUDALY,2,2,source-manual-fixture
OU,MAXIFILE,ouset.f,OUMXFL,2,2,source-manual-fixture
OU,POSTFILE,ouset.f,OUPOST,147,51,source-manual-fixture
OU,PLOTFILE,ouset.f,OUPLOT,70,25,source-manual-fixture
OU,TOXXFILE,ouset.f,OUTOXX,0,0,source-manual-no-current-fixture
OU,SEASONHR,ouset.f,OUSEAS,14,9,source-manual-fixture
OU,RANKFILE,ouset.f,OURANK,9,3,source-manual-fixture
OU,EVALFILE,ouset.f,OUEVAL,0,0,source-manual-no-current-fixture
OU,SUMMFILE,ouset.f,OUSUMM,47,47,source-manual-fixture
OU,FILEFORM,ouset.f,FILEFORM,4,4,source-manual-fixture
OU,MAXDAILY,ouset.f,OUMAXDLY,0,0,source-manual-no-current-fixture
OU,MXDYBYYR,ouset.f,OUMXDLY_BYYR,0,0,source-manual-no-current-fixture
OU,MAXDCONT,ouset.f,OUMAXD_CONT,7,7,source-manual-fixture
OU,NOHEADER,ouset.f,NOHEADER,0,0,source-manual-no-current-fixture
OU,FINISHED,ouset.f,OUTQA,53,53,source-manual-fixture
