pathway,keyword,dispatch_file,dispatch_routine,handler,evidence_status
ME,STARTING,meset.f,MECARD,MECARD,confirmed-source-exact
ME,SURFFILE,meset.f,MECARD,SURFIL,confirmed-source-exact
ME,PROFFILE,meset.f,MECARD,PROFIL,confirmed-source-exact
ME,SURFDATA,meset.f,MECARD,SFDATA,confirmed-source-exact
ME,UAIRDATA,meset.f,MECARD,UADATA,confirmed-source-exact
ME,STARTEND,meset.f,MECARD,STAEND,confirmed-source-exact
ME,DAYRANGE,meset.f,MECARD,DAYRNG,confirmed-source-exact
ME,WDROTATE,meset.f,MECARD,WDROTA,confirmed-source-exact
ME,SITEDATA,meset.f,MECARD,ONDATA,confirmed-source-exact
ME,PROFBASE,meset.f,MECARD,PRBASE,confirmed-source-exact
ME,WINDCATS,meset.f,MECARD,WSCATS,confirmed-source-exact
ME,SCIMBYHR,meset.f,MECARD,SCIMIT,confirmed-source-exact
ME,NUMYEARS,meset.f,MECARD,NUMYR,confirmed-source-exact
ME,NOTURB,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOTURBST,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOTURBCO,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOSA,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOSW,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOSAST,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOSWST,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOSACO,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,NOSWCO,meset.f,MECARD,TURBOPT,confirmed-source-exact
ME,FINISHED,meset.f,MECARD,MECARD,confirmed-source-exact
EV,STARTING,evset.f,EVCARD,EVCARD,confirmed-source-exact
EV,EVENTPER,evset.f,EVCARD,EVPER,confirmed-source-exact
EV,EVENTLOC,evset.f,EVCARD,EVLOC,confirmed-source-exact
EV,INCLUDED,evset.f,EVCARD,INCLUD,confirmed-source-exact
EV,FINISHED,evset.f,EVCARD,EVCARD,confirmed-source-exact
OU,STARTING,ouset.f,OUCARD,OUCARD,confirmed-source-exact
OU,RECTABLE,ouset.f,OUCARD,OUHIGH,confirmed-source-exact
OU,MAXTABLE,ouset.f,OUCARD,OUMXVL,confirmed-source-exact
OU,DAYTABLE,ouset.f,OUCARD,OUDALY,confirmed-source-exact
OU,MAXIFILE,ouset.f,OUCARD,OUMXFL,confirmed-source-exact
OU,POSTFILE,ouset.f,OUCARD,OUPOST,confirmed-source-exact
OU,PLOTFILE,ouset.f,OUCARD,OUPLOT,confirmed-source-exact
OU,TOXXFILE,ouset.f,OUCARD,OUTOXX,confirmed-source-exact
OU,SEASONHR,ouset.f,OUCARD,OUSEAS,confirmed-source-exact
OU,RANKFILE,ouset.f,OUCARD,OURANK,confirmed-source-exact
OU,EVALFILE,ouset.f,OUCARD,OUEVAL,confirmed-source-exact
OU,SUMMFILE,ouset.f,OUCARD,OUSUMM,confirmed-source-exact
OU,FILEFORM,ouset.f,OUCARD,FILEFORM,confirmed-source-exact
OU,MAXDAILY,ouset.f,OUCARD,OUMAXDLY,confirmed-source-exact
OU,MXDYBYYR,ouset.f,OUCARD,OUMXDLY_BYYR,confirmed-source-exact
OU,MAXDCONT,ouset.f,OUCARD,OUMAXD_CONT,confirmed-source-exact
OU,NOHEADER,ouset.f,OUCARD,NOHEADER,confirmed-source-exact
OU,FINISHED,ouset.f,OUCARD,OUTQA,confirmed-source-exact
OU/EVENT,STARTING,evset.f,EV_OUCARD,EV_OUCARD,confirmed-source-exact
OU/EVENT,EVENTOUT,evset.f,EV_OUCARD,OEVENT,confirmed-source-exact
OU/EVENT,FILEFORM,evset.f,EV_OUCARD,FILEFORM,confirmed-source-exact
OU/EVENT,FINISHED,evset.f,EV_OUCARD,EV_OUCARD,confirmed-source-exact
