pathway,keyword,status,evidence,notes
ME,STARTING,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,SURFFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,PROFFILE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,SURFDATA,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,UAIRDATA,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,STARTEND,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,DAYRANGE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,WDROTATE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,SITEDATA,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,PROFBASE,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,WINDCATS,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,SCIMBYHR,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NUMYEARS,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOTURB,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOTURBST,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOTURBCO,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOSA,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOSW,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOSAST,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOSWST,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOSACO,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,NOSWCO,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
ME,FINISHED,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
EV,STARTING,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
EV,EVENTPER,complete-source-verified,dispatcher+handler+manual+fixture-inventory,Record promoted in consolidated ME/EV/OU stage.
