pathway,keyword,fixture_count
CO,ARMRATIO,2
CO,AVERTIME,53
CO,DEBUGOPT,2
CO,ERRORFIL,52
CO,FLAGPOLE,5
CO,GDLANUSE,2
CO,GDSEASON,2
CO,MODELOPT,53
CO,MULTYEAR,5
CO,NO2EQUIL,7
CO,NO2STACK,16
CO,NOXVALUE,1
CO,OZONEFIL,8
CO,OZONEVAL,16
CO,POLLUTID,53
CO,RUNORNOT,53
CO,TITLEONE,53
CO,TITLETWO,38
CO,URBANOPT,7
ME,PROFBASE,53
ME,PROFFILE,53
ME,SCIMBYHR,1
ME,SITEDATA,15
ME,STARTEND,10
ME,SURFDATA,53
ME,SURFFILE,53
ME,UAIRDATA,53
OU,DAYTABLE,2
OU,FILEFORM,4
OU,MAXDCONT,7
OU,MAXIFILE,2
OU,MAXTABLE,25
OU,PLOTFILE,70
OU,POSTFILE,147
OU,RANKFILE,9
OU,RECTABLE,52
OU,SEASONHR,14
OU,SUMMFILE,47
RE,DISCCART,110
RE,DISCPOLR,1
RE,DIST,5
RE,ELEVUNIT,6
RE,EVALCART,361
RE,GDIR,5
RE,GRIDCART,20
RE,GRIDPOLR,104
RE,INCLUDED,3
RE,ORIG,5
RE,POL1,66
RE,XPNTS,1
RE,XYINC,9
RE,YPNTS,1
SO,AREAVERT,4
SO,BACKGRND,17
SO,BACKUNIT,17
SO,BLPGROUP,2
SO,BLPINPUT,6
SO,BUILDHGT,73
SO,BUILDLEN,138
SO,BUILDWID,138
SO,DEPOUNIT,4
SO,ELEVUNIT,23
SO,EMISFACT,33
SO,GASDEPOS,2
SO,HOUREMIS,4
SO,INCLUDED,3
SO,LOCATION,126
SO,MASSFRAX,2
SO,METHOD_2,3
SO,OLMGROUP,2
SO,PARTDENS,2
SO,PARTDIAM,2
SO,PSDGROUP,3
SO,RBARRIER,2
SO,RDEPRESS,2
SO,SRCGROUP,144
SO,SRCPARAM,127
SO,URBANSRC,4
SO,XBADJ,138
SO,YBADJ,138
