pathway,keyword,dispatch_file,dispatcher_lines,handler,handler_file,handler_lines,fixture_occurrences,fixture_files,examples,evidence_status
SO,STARTING,soset.f,75-119,SOCARD,soset.f,1-1008,53,53,inputs/Test1_Base_cart_3cond_SNC.inp:12;inputs/Test20_Urban_cart_3cond_SNC.inp:13;inputs/Test3_Base_cart_3cond_SNC_bar.inp:12;inputs/Test4_Base_cart_3cond_SNC_dep.inp:12,source-manual-fixture
SO,LOCATION,soset.f,120-130,SOLOCA,soset.f,2036-2525,289,53,inputs/Test1_Base_cart_3cond_SNC.inp:16;inputs/Test20_Urban_cart_3cond_SNC.inp:17;inputs/Test3_Base_cart_3cond_SNC_bar.inp:16;inputs/Test4_Base_cart_3cond_SNC_dep.inp:16,source-manual-fixture
SO,SRCPARAM,soset.f,131-143,SOPARM,soset.f,2526-2787,289,53,inputs/Test1_Base_cart_3cond_SNC.inp:21;inputs/Test20_Urban_cart_3cond_SNC.inp:22;inputs/Test3_Base_cart_3cond_SNC_bar.inp:21;inputs/Test4_Base_cart_3cond_SNC_dep.inp:21,source-manual-fixture
SO,BUILDHGT,soset.f,144-179,DSBLDG,soset.f,4116-4201,77,19,inputs/aertest.inp:25;inputs/allsrcs.inp:46;inputs/capped.inp:27;inputs/capped.inp:59,source-manual-fixture
SO,BUILDWID,soset.f,144-179,DSBLDG,soset.f,4116-4201,162,19,inputs/aertest.inp:26;inputs/aertest.inp:27;inputs/aertest.inp:28;inputs/aertest.inp:29,source-manual-fixture
SO,BUILDLEN,soset.f,144-179,DSBLDG,soset.f,4116-4201,162,19,inputs/aertest.inp:32;inputs/aertest.inp:33;inputs/aertest.inp:34;inputs/aertest.inp:35,source-manual-fixture
SO,XBADJ,soset.f,144-179,DSBLDG,soset.f,4116-4201,162,19,inputs/aertest.inp:38;inputs/aertest.inp:39;inputs/aertest.inp:40;inputs/aertest.inp:41,source-manual-fixture
SO,YBADJ,soset.f,144-179,DSBLDG,soset.f,4116-4201,162,19,inputs/aertest.inp:44;inputs/aertest.inp:45;inputs/aertest.inp:46;inputs/aertest.inp:47,source-manual-fixture
SO,PLATFORM,soset.f,180-201,PLATFM,soset.f,3652-3743,0,0,,source-manual-no-current-fixture
SO,EMISFACT,soset.f,202-212,EMVARY,soset.f,4371-4546,33,1,inputs/hrdow.inp:46;inputs/hrdow.inp:48;inputs/hrdow.inp:50;inputs/hrdow.inp:55,source-manual-fixture
SO,EMISUNIT,soset.f,213-232,EMUNIT,soset.f,4612-4671,0,0,,source-manual-no-current-fixture
SO,RLEMCONV,soset.f,233-258,SOCARD,soset.f,1-1008,0,0,,source-manual-no-current-fixture
SO,PARTDIAM,soset.f,259-277,PARTDEP,soset.f,4807-4862,2,2,inputs/openpits.inp:22;inputs/surfcoal.inp:17,source-manual-fixture
SO,MASSFRAX,soset.f,259-277,PARTDEP,soset.f,4807-4862,2,2,inputs/openpits.inp:20;inputs/surfcoal.inp:19,source-manual-fixture
SO,PARTDENS,soset.f,259-277,PARTDEP,soset.f,4807-4862,2,2,inputs/openpits.inp:21;inputs/surfcoal.inp:21,source-manual-fixture
SO,ELEVUNIT,soset.f,278-296,SOELUN,soset.f,1986-2035,24,24,inputs/Test1_Base_cart_3cond_SNC.inp:13;inputs/Test20_Urban_cart_3cond_SNC.inp:14;inputs/Test3_Base_cart_3cond_SNC_bar.inp:13;inputs/Test4_Base_cart_3cond_SNC_dep.inp:13,source-manual-fixture
SO,HOUREMIS,soset.f,297-311,HREMIS,soset.f,6370-6554,8884,6,inputs/in_urban.dat:1;inputs/in_urban.dat:2;inputs/in_urban.dat:3;inputs/in_urban.dat:4,source-manual-fixture
SO,CONCUNIT,soset.f,312-331,COUNIT,soset.f,4672-4728,0,0,,source-manual-no-current-fixture
SO,DEPOUNIT,soset.f,332-352,DPUNIT,soset.f,4729-4806,4,4,inputs/testgas.inp:27;inputs/testgas2.inp:28;inputs/testpart.inp:13;inputs/testprt2.inp:14,source-manual-fixture
SO,AREAVERT,soset.f,353-364,ARVERT,soset.f,3229-3320,4,2,inputs/allsrcs.inp:75;inputs/allsrcs.inp:76;inputs/scimtest.inp:29;inputs/scimtest.inp:30,source-manual-fixture
SO,INCLUDED,soset.f,365-374,INCLUD,setup.f,1874-1910,3,3,inputs/lovett.inp:13;inputs/multurb.inp:22;inputs/surfcoal.inp:15,source-manual-fixture
SO,SRCGROUP,soset.f,375-386,SOGRP,soset.f,5852-6050,148,52,inputs/Test1_Base_cart_3cond_SNC.inp:23;inputs/Test20_Urban_cart_3cond_SNC.inp:24;inputs/Test3_Base_cart_3cond_SNC_bar.inp:28;inputs/Test4_Base_cart_3cond_SNC_dep.inp:28,source-manual-fixture
SO,GASDEPOS,soset.f,387-411,GASDEP,soset.f,5242-5595,2,2,inputs/testgas.inp:24;inputs/testgas2.inp:25,source-manual-fixture
SO,METHOD_2,soset.f,412-438,METH_2,soset.f,5596-5851,3,3,inputs/openpits.inp:24;inputs/testpart.inp:21;inputs/testprt2.inp:22,source-manual-fixture
SO,URBANSRC,soset.f,439-454,URBANS,soset.f,6555-6694,8,4,inputs/Test20_Urban_cart_3cond_SNC.inp:23;inputs/blp_urban.inp:34;inputs/blp_urban.inp:35;inputs/in_urban.inp:26,source-manual-fixture
