pathway,keyword,dispatch_file,dispatch_routine,branch_start_line,branch_end_line,handler,handler_file,handler_start_line,handler_end_line,evidence_status
SO,STARTING,soset.f,SOCARD,75,119,SOCARD,soset.f,1,1008,confirmed-source
SO,LOCATION,soset.f,SOCARD,120,130,SOLOCA,soset.f,2036,2525,confirmed-source
SO,SRCPARAM,soset.f,SOCARD,131,143,SOPARM,soset.f,2526,2787,confirmed-source
SO,BUILDHGT,soset.f,SOCARD,144,179,DSBLDG,soset.f,4116,4201,confirmed-source
SO,BUILDWID,soset.f,SOCARD,144,179,DSBLDG,soset.f,4116,4201,confirmed-source
SO,BUILDLEN,soset.f,SOCARD,144,179,DSBLDG,soset.f,4116,4201,confirmed-source
SO,XBADJ,soset.f,SOCARD,144,179,DSBLDG,soset.f,4116,4201,confirmed-source
SO,YBADJ,soset.f,SOCARD,144,179,DSBLDG,soset.f,4116,4201,confirmed-source
SO,PLATFORM,soset.f,SOCARD,180,201,PLATFM,soset.f,3652,3743,confirmed-source
SO,EMISFACT,soset.f,SOCARD,202,212,EMVARY,soset.f,4371,4546,confirmed-source
SO,EMISUNIT,soset.f,SOCARD,213,232,EMUNIT,soset.f,4612,4671,confirmed-source
SO,RLEMCONV,soset.f,SOCARD,233,258,SOCARD,soset.f,1,1008,confirmed-source
SO,PARTDIAM,soset.f,SOCARD,259,277,PARTDEP,soset.f,4807,4862,confirmed-source
SO,MASSFRAX,soset.f,SOCARD,259,277,PARTDEP,soset.f,4807,4862,confirmed-source
SO,PARTDENS,soset.f,SOCARD,259,277,PARTDEP,soset.f,4807,4862,confirmed-source
SO,ELEVUNIT,soset.f,SOCARD,278,296,SOELUN,soset.f,1986,2035,confirmed-source
SO,HOUREMIS,soset.f,SOCARD,297,311,HREMIS,soset.f,6370,6554,confirmed-source
SO,CONCUNIT,soset.f,SOCARD,312,331,COUNIT,soset.f,4672,4728,confirmed-source
SO,DEPOUNIT,soset.f,SOCARD,332,352,DPUNIT,soset.f,4729,4806,confirmed-source
SO,AREAVERT,soset.f,SOCARD,353,364,ARVERT,soset.f,3229,3320,confirmed-source
SO,INCLUDED,soset.f,SOCARD,365,374,INCLUD,setup.f,1874,1910,confirmed-source
SO,SRCGROUP,soset.f,SOCARD,375,386,SOGRP,soset.f,5852,6050,confirmed-source
SO,GASDEPOS,soset.f,SOCARD,387,411,GASDEP,soset.f,5242,5595,confirmed-source
SO,METHOD_2,soset.f,SOCARD,412,438,METH_2,soset.f,5596,5851,confirmed-source
SO,URBANSRC,soset.f,SOCARD,439,454,URBANS,soset.f,6555,6694,confirmed-source
SO,NO2RATIO,soset.f,SOCARD,455,472,NO2RAT,soset.f,6806,6911,confirmed-source
SO,OLMGROUP,soset.f,SOCARD,473,489,OLMGRP,soset.f,6912,7064,confirmed-source
SO,PSDGROUP,soset.f,SOCARD,490,501,PSDGRP,soset.f,7065,7226,confirmed-source
SO,BACKGRND,soset.f,SOCARD,502,513,BACK_GRND,soset.f,7433,7787,confirmed-source
SO,BACKUNIT,soset.f,SOCARD,514,530,BACK_UNIT,soset.f,7864,7920,confirmed-source
SO,BGSECTOR,soset.f,SOCARD,531,542,BGSECTOR,soset.f,7921,8029,confirmed-source
SO,RBARRIER,soset.f,SOCARD,543,578,RLINEBAR_INPUTS,soset.f,8416,8528,confirmed-source
SO,SBARRIER,soset.f,SOCARD,579,600,SBARRIER_INPUTS,soset.f,8795,8939,confirmed-source
SO,VBARRIER,soset.f,SOCARD,601,619,VBARRIER_INPUTS,soset.f,8529,8731,confirmed-source
SO,RDEPRESS,soset.f,SOCARD,620,653,RLINEDPR_INPUTS,soset.f,9597,9700,confirmed-source
SO,BLPINPUT,soset.f,SOCARD,654,664,BL_AVGINP,soset.f,8030,8254,confirmed-source
SO,BLPGROUP,soset.f,SOCARD,665,678,BLPGRP,soset.f,7227,7432,confirmed-source
SO,ARCFTSRC,soset.f,SOCARD,679,703,AIRCRAFT,soset.f,9701,9793,confirmed-source
SO,HBPSRCID,soset.f,SOCARD,704,726,HBPSOURCE,soset.f,6695,6805,confirmed-source
SO,FINISHED,soset.f,SOCARD,727,1008,SOCARD,soset.f,1,1008,confirmed-source
RE,STARTING,reset.f,RECARD,32,63,RECARD,reset.f,1,207,confirmed-source
RE,GRIDCART,reset.f,RECARD,64,68,RECART,reset.f,258,470,confirmed-source
RE,GRIDPOLR,reset.f,RECARD,69,73,REPOLR,reset.f,836,1077,confirmed-source
RE,DISCCART,reset.f,RECARD,74,78,DISCAR,reset.f,1818,1988,confirmed-source
RE,DISCPOLR,reset.f,RECARD,79,83,DISPOL,reset.f,1989,2186,confirmed-source
RE,EVALCART,reset.f,RECARD,84,93,EVCART,reset.f,2244,2379,confirmed-source
RE,ELEVUNIT,reset.f,RECARD,94,108,REELUN,reset.f,208,257,confirmed-source
RE,INCLUDED,reset.f,RECARD,109,117,INCLUD,setup.f,1874,1910,confirmed-source
RE,FINISHED,reset.f,RECARD,118,207,RECARD,reset.f,1,207,confirmed-source
