filename,asset_path,file_type,uncompressed_size,compressed_size,crc32,zip_modified_time
aermod.f,aermod_source_v26135/aermod.f,fortran-source,361984,61274,313d62b0,2026-6-25-15-19-28
arise.f,aermod_source_v26135/arise.f,fortran-source,55513,14581,08b825fb,2026-5-5-9-10-48
bline.f,aermod_source_v26135/bline.f,fortran-source,67696,16875,4f0956b4,2026-4-26-0-18-44
calc1.f,aermod_source_v26135/calc1.f,fortran-source,526324,97844,63dc0cd0,2026-6-3-12-38-30
calc2.f,aermod_source_v26135/calc2.f,fortran-source,146759,25810,414f8d9e,2026-6-3-12-38-30
coset.f,aermod_source_v26135/coset.f,fortran-source,323195,45257,66d04439,2026-6-3-12-38-30
evcalc.f,aermod_source_v26135/evcalc.f,fortran-source,98215,17957,5a8ff676,2026-5-5-9-10-48
evoutput.f,aermod_source_v26135/evoutput.f,fortran-source,18819,3709,9049304c,2026-5-5-9-10-48
evset.f,aermod_source_v26135/evset.f,fortran-source,36788,8216,2f01fe7c,2026-6-3-12-38-32
gfortran-aermod.bat,aermod_source_v26135/gfortran-aermod.bat,build-script,1612,438,fb59e899,2026-4-23-13-19-34
grsm.f,aermod_source_v26135/grsm.f,fortran-source,62054,13890,7d722f43,2026-6-3-11-26-0
iblval.f,aermod_source_v26135/iblval.f,fortran-source,35252,7577,e7984cc5,2026-5-5-9-10-48
inpsum.f,aermod_source_v26135/inpsum.f,fortran-source,175838,29169,e6c35e8d,2026-6-3-12-38-32
intel_ifx_aermod.bat,aermod_source_v26135/intel_ifx_aermod.bat,build-script,1907,441,1ef2875d,2026-6-3-13-5-4
meset.f,aermod_source_v26135/meset.f,fortran-source,99826,15519,26430ba5,2026-6-3-12-38-32
metext.f,aermod_source_v26135/metext.f,fortran-source,138785,27438,a4560a06,2026-5-5-9-10-24
modules.f,aermod_source_v26135/modules.f,fortran-source,190119,45262,318e2cd5,2026-6-3-12-54-18
ouset.f,aermod_source_v26135/ouset.f,fortran-source,175102,18818,cb28fed5,2026-6-3-12-38-32
output.f,aermod_source_v26135/output.f,fortran-source,153663,23449,5a56301c,2026-6-3-12-38-32
pitarea.f,aermod_source_v26135/pitarea.f,fortran-source,77723,15987,d606bebb,2026-5-5-9-10-48
prime.f,aermod_source_v26135/prime.f,fortran-source,198289,39287,5a936f70,2025-1-24-15-48-42
prise.f,aermod_source_v26135/prise.f,fortran-source,17931,4748,5e4c1f95,2025-1-24-15-48-42
reset.f,aermod_source_v26135/reset.f,fortran-source,90828,12276,5f532374,2026-5-5-9-10-48
rline.f,aermod_source_v26135/rline.f,fortran-source,139911,27069,75e4926c,2026-5-5-9-10-48
setup.f,aermod_source_v26135/setup.f,fortran-source,69959,16386,ef9e5162,2026-5-5-9-10-48
siggrid.f,aermod_source_v26135/siggrid.f,fortran-source,35842,4664,116e3606,2025-1-24-15-48-42
sigmas.f,aermod_source_v26135/sigmas.f,fortran-source,19641,4413,b93cf6da,2026-5-5-9-10-48
soset.f,aermod_source_v26135/soset.f,fortran-source,382474,57160,27147973,2026-5-28-10-26-56
tempgrid.f,aermod_source_v26135/tempgrid.f,fortran-source,33273,7208,4371e251,2025-1-24-15-48-42
uninam.f,aermod_source_v26135/uninam.f,fortran-source,1753,503,76a60b0a,2025-1-24-15-48-42
windgrid.f,aermod_source_v26135/windgrid.f,fortran-source,40414,5800,92e09551,2025-1-24-15-48-42
