asset_id,path,is_directory,uncompressed_size,compressed_size,crc32,modified_time,compression_method
aermod-source,aermod_source_v26135/,True,0,0,00000000,2026-6-29-15-59-42,0
aermod-source,aermod_source_v26135/aermod.f,False,361984,61274,313d62b0,2026-6-25-15-19-28,8
aermod-source,aermod_source_v26135/arise.f,False,55513,14581,08b825fb,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/bline.f,False,67696,16875,4f0956b4,2026-4-26-0-18-44,8
aermod-source,aermod_source_v26135/calc1.f,False,526324,97844,63dc0cd0,2026-6-3-12-38-30,8
aermod-source,aermod_source_v26135/calc2.f,False,146759,25810,414f8d9e,2026-6-3-12-38-30,8
aermod-source,aermod_source_v26135/coset.f,False,323195,45257,66d04439,2026-6-3-12-38-30,8
aermod-source,aermod_source_v26135/evcalc.f,False,98215,17957,5a8ff676,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/evoutput.f,False,18819,3709,9049304c,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/evset.f,False,36788,8216,2f01fe7c,2026-6-3-12-38-32,8
aermod-source,aermod_source_v26135/gfortran-aermod.bat,False,1612,438,fb59e899,2026-4-23-13-19-34,8
aermod-source,aermod_source_v26135/grsm.f,False,62054,13890,7d722f43,2026-6-3-11-26-0,8
aermod-source,aermod_source_v26135/iblval.f,False,35252,7577,e7984cc5,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/inpsum.f,False,175838,29169,e6c35e8d,2026-6-3-12-38-32,8
aermod-source,aermod_source_v26135/intel_ifx_aermod.bat,False,1907,441,1ef2875d,2026-6-3-13-5-4,8
aermod-source,aermod_source_v26135/meset.f,False,99826,15519,26430ba5,2026-6-3-12-38-32,8
aermod-source,aermod_source_v26135/metext.f,False,138785,27438,a4560a06,2026-5-5-9-10-24,8
aermod-source,aermod_source_v26135/modules.f,False,190119,45262,318e2cd5,2026-6-3-12-54-18,8
aermod-source,aermod_source_v26135/ouset.f,False,175102,18818,cb28fed5,2026-6-3-12-38-32,8
aermod-source,aermod_source_v26135/output.f,False,153663,23449,5a56301c,2026-6-3-12-38-32,8
aermod-source,aermod_source_v26135/pitarea.f,False,77723,15987,d606bebb,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/prime.f,False,198289,39287,5a936f70,2025-1-24-15-48-42,8
aermod-source,aermod_source_v26135/prise.f,False,17931,4748,5e4c1f95,2025-1-24-15-48-42,8
aermod-source,aermod_source_v26135/reset.f,False,90828,12276,5f532374,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/rline.f,False,139911,27069,75e4926c,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/setup.f,False,69959,16386,ef9e5162,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/siggrid.f,False,35842,4664,116e3606,2025-1-24-15-48-42,8
aermod-source,aermod_source_v26135/sigmas.f,False,19641,4413,b93cf6da,2026-5-5-9-10-48,8
aermod-source,aermod_source_v26135/soset.f,False,382474,57160,27147973,2026-5-28-10-26-56,8
aermod-source,aermod_source_v26135/tempgrid.f,False,33273,7208,4371e251,2025-1-24-15-48-42,8
aermod-source,aermod_source_v26135/uninam.f,False,1753,503,76a60b0a,2025-1-24-15-48-42,8
aermod-source,aermod_source_v26135/windgrid.f,False,40414,5800,92e09551,2025-1-24-15-48-42,8
