asset_id,path,is_directory,uncompressed_size,compressed_size,crc32,modified_time,compression_method
sample-run,SampleRun/,True,0,0,00000000,2026-7-7-12-40-2,0
sample-run,SampleRun/AERMAP/,True,0,0,00000000,2023-10-19-8-40-18,0
sample-run,SampleRun/AERMAP/aermap.inp,False,1093,403,283420c3,2026-7-7-13-57-46,8
sample-run,SampleRun/AERMAP/aermap_ORG.rec,False,882,341,108e8a89,2026-7-7-13-57-52,8
sample-run,SampleRun/AERMAP/aermap_ORG.src,False,918,317,8c42dba9,2026-7-7-13-57-52,8
sample-run,SampleRun/AERMAP/DOMDETAIL_ORG.OUT,False,4795,710,b168cd69,2026-7-7-23-36-42,8
sample-run,SampleRun/AERMAP/MAPDETAIL_ORG.OUT,False,3987,801,0834a8cf,2026-7-7-23-36-38,8
sample-run,SampleRun/AERMAP/MAPPARAMS_ORG.OUT,False,6881,1570,dd8083f1,2026-7-7-7-23-36-42,8
sample-run,SampleRun/AERMAP/newark-e.dem,False,9859861,793407,521709d6,2002-3-6-11-2-4,8
sample-run,SampleRun/AERMAP/newark-e.tif,False,52208457,44157446,c7efa4fe,2026-7-7-13-45-26,8
sample-run,SampleRun/AERMAP/newark-w.dem,False,9859861,1161568,bb9fb554,2002-3-6-11-2-38,8
sample-run,SampleRun/AERMAP/newark-w.tif,False,52208457,45516339,a7cbb5b3,2026-7-7-13-45-52,8
sample-run,SampleRun/AERMET/,True,0,0,00000000,2023-10-19-8-40-18,0
sample-run,SampleRun/AERMET/14735-92.fsl,False,3766779,690374,2efd6cba,2002-3-25-15-15-24,8
sample-run,SampleRun/AERMET/14737.DAT,False,779328,152658,cd14aaf9,1997-12-12-3-16-18,8
sample-run,SampleRun/AERMET/aermet1.inp,False,1942,698,b5f6c590,2024-11-21-15-54-2,8
sample-run,SampleRun/AERMET/aermet2.inp,False,1464,401,8fc501ca,2023-6-15-11-27-46,8
sample-run,SampleRun/AERMET/aermet_ORG.pfl,False,8266752,732743,6b0340e9,2026-7-7-13-9-28,8
sample-run,SampleRun/AERMET/aermet_ORG.sfc,False,1631346,223704,da99357a,2026-7-7-13-9-28,8
sample-run,SampleRun/AERMET/MCOSPFL.DAT,False,4220928,446737,3c1297ca,1997-12-14-5-21-34,8
sample-run,SampleRun/AERMOD/,True,0,0,00000000,2023-10-19-8-40-18,0
sample-run,SampleRun/AERMOD/aermod.emi,False,4866048,413941,b0883060,1996-1-18-9-40-46,8
sample-run,SampleRun/AERMOD/aermod.inp,False,8520,1544,060ccad2,2026-7-7-22-59-46,8
sample-run,SampleRun/AERMOD/aermod_ORG.out,False,156976,22788,163b17aa,2026-7-7-23-0-52,8
sample-run,SampleRun/AERMOD/aermod_ORG.sum,False,27832,4484,0d2dc41e,2026-7-7-23-0-54,8
sample-run,SampleRun/AERMOD/ERRORS_ORG.OUT,False,15379,1646,d7e3c692,2026-7-7-23-0-52,8
sample-run,SampleRun/AERMOD_Sample_Run_Instructions.pdf,False,1815432,1618048,7141b2cb,2026-7-7-23-30-32,8
sample-run,SampleRun/ReadMeForFilesExplained.txt,False,12363,2195,e281ccc0,2026-7-7-23-48-4,8
