expected_file,expected_size_bytes,generated_candidate_count,covered,text_file,canonical_match_any_candidate,byte_match_any_candidate
aermod-baldwin45.out,222831,1,True,True,False,False
aermod-baldwin45_ERRORS.OUT,292969,1,True,True,True,False
aermod-baldwinHoriz.out,222840,1,True,True,False,False
aermod-baldwinHoriz_ERRORS.OUT,292969,1,True,True,True,False
aermod-baldwinVert.out,222839,1,True,True,False,False
aermod-baldwinVert_ERRORS.OUT,292969,1,True,True,True,False
aertest.out,114627,1,True,True,True,False
AERTEST.SUM,21482,1,True,True,True,False
AERTEST_ERRORS.OUT,1034,1,True,True,True,False
allsrcs.out,2332325,1,True,True,False,False
ALLSRCS.SUM,55152,1,True,True,True,False
ALLSRCS_ERRORS.OUT,4074,1,True,True,True,False
baldwin45.SUM,120635,1,True,True,False,False
baldwinHorz.SUM,120635,1,True,True,False,False
baldwinVert.SUM,120635,1,True,True,False,False
BG-NO2.sum,14875,1,True,True,True,False
BG-NO2_ARM2_UGM3.err,1224,1,True,True,True,False
BG-NO2_ARM2_UGM3.sum,14700,1,True,True,True,False
BG-NO2_GRSM_PPB.sum,15249,1,True,True,True,False
BG-NO2_GRSM_UGM3.err,1414,1,True,True,True,False
BG-NO2_GRSM_UGM3.sum,15249,1,True,True,True,False
BG-NO2_OLM_PPB.sum,14832,1,True,True,True,False
BG-NO2_OLM_UGM3.err,1319,1,True,True,True,False
BG-NO2_OLM_UGM3.sum,14832,1,True,True,True,False
BG-NO2_PVMRM_PPB.err,1319,1,True,True,True,False
BG-NO2_PVMRM_PPB.sum,14875,1,True,True,True,False
BG-NO2_PVMRM_UGM3.err,1319,1,True,True,True,False
BG-NO2_TTRM_PPB.err,1319,1,True,True,True,False
BG-NO2_TTRM_PPB.sum,14784,1,True,True,True,False
BG-NO2_TTRM_UGM3.err,1319,1,True,True,True,False
BG-NO2_TTRM_UGM3.sum,14784,1,True,True,True,False
BG_NO2_ARM2_PPB.err,1224,1,True,True,True,False
bg_no2_arm2_ppb.out,36284,1,True,True,True,False
BG_NO2_ARM2_PPB.sum,14700,1,True,True,True,False
bg_no2_arm2_ugm3.out,36295,1,True,True,True,False
BG_NO2_GRSM_PPB.err,1414,1,True,True,True,False
bg_no2_grsm_ppb.out,37832,1,True,True,True,False
bg_no2_grsm_ugm3.out,38166,1,True,True,True,False
BG_NO2_OLM_PPB.err,1319,1,True,True,True,False
bg_no2_olm_ppb.out,37690,1,True,True,True,False
bg_no2_olm_ugm3.out,37584,1,True,True,True,False
bg_no2_pvmrm_ppb.out,37813,1,True,True,True,False
bg_no2_pvmrm_ugm3.out,37650,1,True,True,True,False
bg_no2_ttrm_ppb.out,37776,1,True,True,True,False
bg_no2_ttrm_ugm3.out,37628,1,True,True,True,False
blp_urban.out,169240,1,True,True,False,False
capped.out,1018709,1,True,True,False,False
CAPPED.SUM,41625,1,True,True,False,False
CAPPED_ERRORS.OUT,1129,1,True,True,True,False
capped_nostd.out,460016,1,True,True,True,False
CAPPED_NOSTD.SUM,28258,1,True,True,True,False
CAPPED_NOSTD_ERRORS.OUT,1224,1,True,True,True,False
ERRORS_IN_URBAN.OUT,654,1,True,True,True,False
FLATEELEV24.RNK,10056,1,True,True,True,False
flatelev.out,347652,1,True,True,False,False
FLATELEV.SUM,37108,1,True,True,False,False
FLATELEV1.RNK,13722,1,True,True,True,False
FLATELEV3.RNK,12030,1,True,True,True,False
FLATELEV_ERRORS.OUT,28584,1,True,True,True,False
hrdow.out,397292,1,True,True,True,False
HRDOW.SUM,128688,1,True,True,True,False
HRDOW_ERRORS.OUT,328594,1,True,True,True,False
in_urban.out,158674,1,True,True,True,False
lovett.out,144765,1,True,True,False,False
LOVETT.SUM,30461,1,True,True,False,False
LOVETT1.RNK,9012,1,True,True,True,False
LOVETT24.RNK,6098,1,True,True,True,False
LOVETT3.RNK,8260,1,True,True,True,False
LOVETT_ERRORS.OUT,26969,1,True,True,True,False
MAX24PM.FIL,1079,1,True,True,False,False
mcr.out,157948,1,True,True,False,False
MCR.SUM,28100,1,True,True,False,False
MCR01.RNK,30997,1,True,True,True,False
MCR03.RNK,26673,1,True,True,True,False
MCR24.RNK,14359,1,True,True,True,False
MCR_ERRORS.OUT,15379,1,True,True,True,False
Modified_BLP_w-AREA.DBG,3484374,1,True,True,True,False
multurb.out,294174,1,True,True,False,False
MULTURB.SUM,28368,1,True,True,True,False
MULTURB_ERRORS.OUT,1034,1,True,True,True,False
