case_id,outcome,diagnostic_codes,deck_sha256,main_output_sha256,generated_outputs
so_platform_valid_control,accepted,"W403,W471,W476",9f46858fdb3205d0d72169d7d4e157dbb635ef73eca47e271538fd9b8a81ae07,2eadefa9c67988c2e5f3e9d02d73a4b22dd325c98099bbda04ea95a85ef96e89,Outputs/ALLSRCS.SUM|55196|64c5b7253cc71bddedf5c67e7ad2421b337d21c08250e4ca61ea17e39f90e32c
so_platform_one_extra_numeric,accepted,"W403,W471,W476",bcfc0587aebbee55a88547c2979ab5722017dd5e2bde243d8b7a27a1edeb9159,12d8f4287e3c1d489a23d913324bd9a2146bdc3b568a10cd691a4974bc9ea561,Outputs/ALLSRCS.SUM|55196|98dec95bf1482054d831c67ab3daade09a248f8fa4b37eb52ea5feaf78f0d10e
so_platform_two_extra_numeric,accepted,"W403,W471,W476",53446e06cc0b11c4d5cb6a7690811561ab99d2d1336fa2c4bbe2c6ed5d2edd00,6e00d8092002dcf1881bd51898f7443e7887b601039c881c31763064679830d6,Outputs/ALLSRCS.SUM|55196|ca73ef43b863c8409ae9981e0852d27de637150679b773176e82b94dd3f36443
so_platform_one_extra_text,rejected,"E208,W403,W476",88441483b18edae387ba9fc52422eb1339e2cf3046134fdb8cce640343e01ba7,2f127ed988adbb0745b12ad05e69b83e50ea8a2558b3d07e0412fbbf8c66b260,Outputs/ALLSRCS.SUM|1049|29a764584bdbefe61cbfc3aa7082a34396fb4f4afc6a1880b3f1e1e5df5ec0d3
so_platform_duplicate_same_source,rejected,"E632,W403,W476",f2b4ae833af4a57d668cba246e5ae4441bdbb6e3f32f997959002b314f602419,020a07f6190879769405b3c0b7bcb80c18e151a4f4cbce5e47fc45882202de44,Outputs/ALLSRCS.SUM|1049|c9607b43685f08ff7d1529e69e33e59e80d8c1b3835a8f526897348367a78662
so_platform_nonpoint_area,rejected,"E631,W403,W476",7d69e7b606d494787e935377b6d546eae6fd8ac57efbbc4cd14eaeeae94bf6c0,2e212c46acce5250f3dda4cc1ffe30176ee47124328dc38b232cb84d0d94b751,Outputs/ALLSRCS.SUM|1049|5e5e132f5f65667f8f91380375388ee5be30eb4a5abd62838d5d76b5138c5aff
so_platform_prime_conflict,rejected,"E633,W403,W476",0f37b66e966d30dd2767fb705ca451d0b31fe370ae81901ebed9018569e9431c,d45bdd8b35d535e4440d2dab57c43ae04f8271b57c85915fc34707cab4135919,Outputs/ALLSRCS.SUM|1049|a338e8696573c59d2e0104d28afc696ec922a124c4273728e34396bd96f71572
so_backgrnd_global_annual_control,accepted,"I440,I460,W187,W298,W361",5739e6263c385c2c6bf826745e62b8863e061526edd84d95c92e74626cb4e88c,c499d887dd8366fc5d7383320850c2ef0bc0f5fe087151907f32b32eff4efafa,Outputs/no2_1yrAK_PVMRM.SUM|222232|b506d00a646d6ee3182f52ef9a4599673184ded2a65685a34c39bfbe803293aa|Outputs/NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out|10951|2ab3395f659c7f5f077b64a47cbda5369b7beaa2dba3971a925eda6fa2978ef3
so_backgrnd_global_duplicate_same,rejected,"E231,W187,W298,W361",cded956ec5468dd721256cd0c34854fc5a4e0d316b420bad4e197df4061b3199,06c28f9288d140b27bf9a53692b7f9759c558fc62ebe54c3da234e9d59d2ef8f,Outputs/no2_1yrAK_PVMRM.SUM|1145|997f4941d3592f00db3d0026e8d2cae839ce9398f29950f66b8521e0255ff8ad|Outputs/NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out|0|e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
so_backgrnd_global_duplicate_different,rejected,"E231,W187,W298,W361",e55ce0a6868a409280d1520b2fa8c5111bf7a28efd2242305d35182782a21076,33e6574d40d6a032cbcba928b8c4712dbe909844d91ff343246ea0147b1193e9,Outputs/no2_1yrAK_PVMRM.SUM|1145|eab117bf04593ac17683db2d2e821c91edf92b5ede2088c4bf494cfd95130dea|Outputs/NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out|0|e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
so_backgrnd_sector_annual_control,accepted,"I440,I460,W187,W298,W361",81d522b91b0a5b8cfe98de327f2fb2f8905cecb25d624e11dca8b90dfdfe1fba,97a6aade12551eca858b187c50b8d1728814ff3bcfb092cbb11963daa23e8ade,Outputs/no2_1yrAK_PVMRM.SUM|222357|68bbe7597224624a5e48ad019f4f62927b4904aa52c684e42981d1b75c335d2a|Outputs/NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out|10951|549387ca5d88b46c0a0a8eabfc9b57c2bf31b3ef3761543ba757fc5dab051574
so_backgrnd_sector_duplicate_same,rejected,"E231,W187,W298,W361",835c862fa6abed48c5bf3549e487e77abb1e91c74181c3ff34c45eb66748bcdc,3b91095809f5e4b0f3ab1deb0eab811a39e3f10c79f6f747857fd441b824442c,Outputs/no2_1yrAK_PVMRM.SUM|1145|8de87f7498ea105e2df118fd5626c45d7dbf4ae6c560e8935ac2854977e227c3|Outputs/NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out|0|e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
so_backgrnd_sector_duplicate_different,rejected,"E231,W187,W298,W361",16de9ca87d6510a500653560aa160dc1f2d993299637ee1d5886076a138673a7,6d63d51cd871f0931da60551a8967945a7858e3ca9a945a68b847005bce08ad6,Outputs/no2_1yrAK_PVMRM.SUM|1145|88eca40e4d21f19f7d940e11f2765318e9b3bf9b16f0cb99403a34a8c254ac45|Outputs/NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out|0|e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
so_backgrnd_hourly_only_control,accepted,"W214,W248,W298,W362,W403,W530",0f1a74e0fd1504b5375f3c51061a4ad37c7f57a85aa5691f3c8aa47ad281a889,f1ece668df94f977f3c408a51871907dbdd64101bab12124d6890b35f525814a,Outputs/BG-NO2_ARM2_UGM3.sum|14700|d00d0fc380c07372ea454d5426b8c5f510d1a0e8c613b5a101c73662b9d9109d
